a,b,theta,status
7.4,6.0,25.0,InProgress
3.9,12.0,25.0,InProgress
6.8,6.6,25.5,InProgress
7.6,5.9,25.5,InProgress
3.9,12.0,25.5,InProgress
7.2,6.3,26.0,InProgress
7.6,6.0,26.0,NotYet
3.9,12.0,26.0,NotYet
7.8,5.8,26.5,NotYet
3.9,12.0,26.5,NotYet
7.4,6.2,27.0,NotYet
7.8,5.9,27.0,NotYet
3.9,12.0,27.0,NotYet
6.9,6.7,27.5,NotYet
7.9,5.8,27.5,NotYet
3.9,11.9,27.5,NotYet
7.7,6.0,28.0,NotYet
6.9,6.7,28.0,NotYet
8.0,5.8,28.0,NotYet
3.9,11.9,28.0,NotYet
8.1,5.7,28.5,NotYet
3.9,11.9,28.5,NotYet
8.0,5.8,29.0,NotYet
7.1,6.6,29.0,NotYet
8.2,5.7,29.0,NotYet
3.9,11.9,29.0,NotYet
7.4,6.4,29.5,NotYet
8.3,5.6,29.5,NotYet
4.0,11.8,29.5,NotYet
